title,duration_minutes,duration_seconds,type,genre,service,season,episode,year,description,automode_eligible,content_id,intelligence_bucket
"The Exorcist",122,7320,movie,Horror,hulu,,,1973,"Classic possession horror",true,exorcist-movie,Content Intelligence
"Get Out",104,6240,movie,Horror,netflix,,,2017,"Man visits girlfriend's family",true,getout-movie,Content Intelligence
"A Quiet Place",90,5400,movie,Horror,amazon,,,2018,"Family survives in silence",true,quietplace-movie,Content Intelligence
"Planet Earth II S01E01",50,3000,episode,Documentary,discovery,1,1,2016,"Wildlife across the globe",true,planetearthii-s01e01,Content Intelligence
"The Last Dance S01E01",50,3000,episode,Documentary,netflix,1,1,2020,"Michael Jordan's Bulls",true,lastdance-s01e01,Content Intelligence
"Our Planet S01E01",50,3000,episode,Documentary,netflix,1,1,2019,"Nature documentary series",true,ourplanet-s01e01,Content Intelligence
"Cosmos S01E01",44,2640,episode,Documentary,fox,1,1,2014,"Journey through space and time",true,cosmos-s01e01,Story Tree
"Blue Planet S01E01",50,3000,episode,Documentary,bbc,1,1,2001,"Ocean exploration begins",true,blueplanet-s01e01,Character Summaries
"My Octopus Teacher",85,5100,movie,Documentary,netflix,,,2020,"Octopus-human friendship",true,octopus-movie,Content Intelligence
"Free Solo",100,6000,movie,Documentary,disney,,,2018,"Climbing El Capitan",true,free-solo-movie,Content Intelligence
"Icarus",121,7260,movie,Documentary,netflix,,,2017,"Doping in sports",true,icarus-movie,Content Intelligence
"American Factory",110,6600,movie,Documentary,netflix,,,2019,"Chinese factory in Ohio",true,amfactory-movie,Content Intelligence
"BoJack Horseman S06E16",25,1500,episode,Animation,netflix,6,16,2020,"BoJack's final episode",true,bojack-s06e16,Story Tree
"Rick and Morty S05E10",22,1320,episode,Animation,hulu,5,10,2021,"Season 5 finale",true,rickmorty-s05e10,Scene Description Pipeline
"Arcane S01E09",40,2400,episode,Animation,netflix,1,9,2021,"Arcane's season finale",true,arcane-s01e09,Scene Description Pipeline
"Love Death + Robots S03E09",15,900,episode,Animation,netflix,3,9,2022,"Animated sci-fi anthology",true,ldrobots-s03e09,Scene Description Pipeline
"Adventure Time S10E13",11,660,episode,Animation,hulu,10,13,2018,"Adventure Time finale",true,adventuretime-s10e13,Scene Description Pipeline
"Spider-Man: Into the Spider-Verse",117,7020,movie,Animation,netflix,,,2018,"Animated Spider-Man adventure",true,spiderman-movie,Content Intelligence
"Toy Story 4",100,6000,movie,Animation,disney,,,2019,"Woody and friends' new adventure",true,toystory4-movie,Content Intelligence
"Coco",105,6300,movie,Animation,disney,,,2017,"Boy visits Land of the Dead",true,coco-movie,Content Intelligence 
