title,duration_minutes,duration_seconds,type,genre,service,season,episode,year,description,automode_eligible,content_id,intelligence_bucket
"Arrested Development - Gob's Magic",9,540,clip,Comedy,fox,2,1,2004,"It's not a trick, it's an illusion",true,arrested-magic-clip,Story Tree
"Community - Paintball Episode",15,900,clip,Comedy,nbc,1,23,2010,"The study group in paintball war",true,community-paintball-clip,Story Tree
"30 Rock - Tracy's Outburst",7,420,clip,Comedy,nbc,2,11,2008,"Tracy has a public meltdown",true,30rock-tracy-clip,Story Tree
"How I Met Your Mother - Slap Bet",11,660,clip,Sitcom,cbs,2,9,2006,"Marshall wins the right to slap Barney",true,himym-slap-clip,Story Tree
"Brooklyn Nine-Nine - Halloween Heist",13,780,clip,Comedy,fox,1,6,2013,"First annual Halloween heist begins",true,brooklyn-heist-clip,Story Tree
"Modern Family - Phil's Philosophy",5,300,clip,Sitcom,abc,1,2,2009,"Phil explains his parenting style",true,modern-philosophy-clip,Story Tree
"Cheers - Norm Entrance",4,240,clip,Sitcom,nbc,3,1,1984,"NORM! Everyone knows your name",true,cheers-norm-clip,Story Tree
"Frasier - Psychiatrist Analysis",8,480,clip,Sitcom,nbc,5,12,1998,"Frasier analyzes everyone at party",true,frasier-analysis-clip,Story Tree
"Will & Grace - Jack's Dramatics",6,360,clip,Sitcom,nbc,2,8,2000,"Jack overreacts to minor situation",true,willgrace-jack-clip,Story Tree
"Sex and the City - Carrie's Voiceover",7,420,clip,Comedy,hbo,3,5,2000,"Carrie wonders about relationships",true,satc-carrie-clip,Story Tree
"Everybody Loves Raymond - Family Dinner",9,540,clip,Sitcom,cbs,4,11,2000,"Ray gets caught between Marie and Debra",true,raymond-dinner-clip,Story Tree
"King of Queens - Doug's Schemes",12,720,clip,Sitcom,cbs,6,7,2004,"Doug tries to avoid work",true,queens-scheme-clip,Story Tree
"Sherlock - Deduction Scene",8,480,clip,Mystery,bbc,1,1,2010,"Holmes deduces Watson's background",true,sherlock-deduction-clip,Character Summaries
"House - Differential Diagnosis",10,600,clip,Medical,fox,2,5,2005,"Team brainstorms patient symptoms",true,house-diagnosis-clip,Character Summaries
"Dexter - Kill Room Setup",12,720,clip,Crime,showtime,1,3,2006,"Dexter prepares his kill room",true,dexter-room-clip,Character Summaries
"The Mentalist - Patrick's Tricks",6,360,clip,Crime,cbs,1,2,2008,"Patrick Jane reads people's minds",true,mentalist-tricks-clip,Character Summaries
"Psych - Shawn's Fake Visions",9,540,clip,Comedy,usa,1,1,2006,"Shawn pretends to be psychic",true,psych-visions-clip,Character Summaries
"Monk - Adrian's Phobias",7,420,clip,Comedy,usa,1,2,2002,"Monk explains his many fears",true,monk-phobias-clip,Character Summaries
"Criminal Minds - Behavioral Analysis",11,660,clip,Crime,cbs,1,1,2005,"Team profiles the unsub",true,minds-profile-clip,Character Summaries
"Bones - Booth and Brennan Banter",5,300,clip,Crime,fox,1,1,2005,"Partnership dynamic showcased",true,bones-banter-clip,Character Summaries
"NCIS - Gibbs and DiNozzo",8,480,clip,Crime,cbs,1,1,2003,"Head slap and movie references",true,ncis-slap-clip,Character Summaries
"CSI - Lab Work Montage",4,240,clip,Crime,cbs,1,1,2000,"Team processes evidence in lab",true,csi-lab-clip,Character Summaries
"Elementary - Holmes and Watson",13,780,clip,Crime,cbs,1,1,2012,"Modern Holmes in New York",true,elementary-modern-clip,Character Summaries 
"The X-Files - Mulder and Scully",15,900,clip,Mystery,fox,1,1,1993,"The truth is out there",true,xfiles-truth-clip,Character Summaries 
"Westworld - Man in Black",14,840,clip,Sci-Fi,hbo,1,1,2016,"These violent delights have violent ends",true,westworld-mib-clip,Content Intelligence
"Black Mirror - Nosedive Rating",10,600,clip,Sci-Fi,netflix,3,1,2016,"Social credit score dystopia",true,blackmirror-nosedive-clip,Content Intelligence
"Mindhunter - Serial Killer Interview",12,720,clip,Crime,netflix,1,2,2017,"Holden interviews Edmund Kemper",true,mindhunter-kemper-clip,Content Intelligence
"Better Call Saul - Chicanery Trial",13,780,clip,Drama,amc,3,5,2017,"Chuck's final confrontation with Jimmy",true,bcs-chicanery-clip,Content Intelligence
"Ozark - Money Laundering Setup",9,540,clip,Crime,netflix,1,1,2017,"Marty explains how to launder money",true,ozark-laundering-clip,Content Intelligence
"True Detective - Rust's Philosophy",11,660,clip,Crime,hbo,1,4,2014,"Time is a flat circle",true,truedetective-time-clip,Content Intelligence
"Hannibal - Psychological Games",8,480,clip,Horror,nbc,1,1,2013,"Dr. Lecter manipulates patients",true,hannibal-games-clip,Content Intelligence
"Fargo - Lorne Malvo Chaos",10,600,clip,Crime,fx,1,1,2014,"Billy Bob Thornton's menacing presence",true,fargo-malvo-clip,Content Intelligence
"Mare of Easttown - Small Town Secrets",7,420,clip,Crime,hbo,1,1,2021,"Kate Winslet investigates murder",true,mare-secrets-clip,Content Intelligence
"Yellowjackets - Survival Instincts",9,540,clip,Horror,showtime,1,1,2021,"Team stranded in wilderness",true,yellowjackets-survival-clip,Content Intelligence
"The Night Of - Prison Adaptation",12,720,clip,Crime,hbo,1,1,2016,"Naz learns to survive in jail",true,nightof-prison-clip,Content Intelligence
"Succession - Roy Family Dysfunction",8,480,clip,Drama,hbo,1,1,2018,"Logan manipulates his children",true,succession-logan-clip,Content Intelligence
"Killing Eve - Cat and Mouse",6,360,clip,Thriller,bbc,1,1,2018,"Villanelle hunts her targets",true,killingeve-hunt-clip,Content Intelligence
"Broadchurch - Grief and Guilt",11,660,clip,Drama,itv,1,1,2013,"Community deals with child murder",true,broadchurch-grief-clip,Content Intelligence
"The Sinner - Psychological Unraveling",10,600,clip,Drama,usa,1,1,2017,"Detective digs into motivation",true,sinner-unravel-clip,Content Intelligence
"Euphoria - Teen Struggles",7,420,clip,Drama,hbo,1,1,2019,"Rue battles addiction",true,euphoria-rue-clip,Content Intelligence
"The Crown - Royal Protocol",9,540,clip,Drama,netflix,1,1,2016,"Queen Elizabeth navigates crises",true,crown-protocol-clip,Content Intelligence
"Big Bang Theory - Sheldon's Rules",3,180,clip,Sitcom,cbs,1,1,2007,"Sheldon explains his apartment agreement",true,bbt-rules-clip,Story Tree
"Two and a Half Men - Charlie's Lifestyle",5,300,clip,Sitcom,cbs,1,1,2003,"Charlie's bachelor pad philosophy",true,twohalfmen-charlie-clip,Story Tree
"Malcolm in the Middle - Family Chaos",6,360,clip,Sitcom,fox,1,1,2000,"Hal tries to fix the garage door",true,malcolm-chaos-clip,Story Tree
"That 70s Show - Circle Time",4,240,clip,Sitcom,fox,1,1,1998,"The gang sits in the circle",true,that70s-circle-clip,Story Tree
"Married with Children - Al's Misery",7,420,clip,Sitcom,fox,1,1,1987,"Al Bundy remembers his glory days",true,married-al-clip,Story Tree
"Home Improvement - Tool Time Disaster",8,480,clip,Sitcom,abc,1,1,1991,"Tim Taylor's tool demonstration fails",true,home-tooltime-clip,Story Tree
"Full House - Uncle Jesse Hair",3,180,clip,Sitcom,abc,1,1,1987,"Jesse obsesses over his hair",true,fullhouse-hair-clip,Story Tree
"Family Matters - Urkel's Clumsiness",5,300,clip,Sitcom,abc,1,1,1989,"Did I do that? Steve breaks things",true,family-urkel-clip,Story Tree
"Boy Meets World - Mr. Feeny's Wisdom",6,360,clip,Sitcom,abc,1,1,1993,"Feeny teaches life lessons",true,boy-feeny-clip,Story Tree
"Step by Step - Blended Family Issues",7,420,clip,Sitcom,abc,1,1,1991,"Lambert-Foster family dynamics",true,stepbystep-family-clip,Story Tree
"Perfect Strangers - Balki's Confusion",4,240,clip,Sitcom,abc,1,1,1986,"Balki misunderstands American culture",true,perfect-balki-clip,Story Tree
"Wings - Airport Shenanigans",9,540,clip,Sitcom,nbc,1,1,1990,"Joe and Brian run airline",true,wings-airport-clip,Story Tree
"NewsRadio - Office Politics",8,480,clip,Sitcom,nbc,1,1,1995,"WNYX radio station workplace comedy",true,newsradio-office-clip,Story Tree
"3rd Rock from the Sun - Alien Behavior",6,360,clip,Sitcom,nbc,1,1,1996,"Aliens try to understand humans",true,3rdrock-alien-clip,Story Tree
"Just Shoot Me - Magazine Drama",5,300,clip,Sitcom,nbc,1,1,1997,"Blush magazine office antics",true,justshoot-magazine-clip,Story Tree
"Suddenly Susan - Career Woman",7,420,clip,Sitcom,nbc,1,1,1996,"Susan navigates single life and career",true,suddenly-susan-clip,Story Tree
"Spin City - Political Satire",10,600,clip,Sitcom,abc,1,1,1996,"New York City Hall shenanigans",true,spincity-politics-clip,Story Tree
"Drew Carey Show - Cleveland Life",8,480,clip,Sitcom,abc,1,1,1995,"Drew's everyday Cleveland struggles",true,drew-cleveland-clip,Story Tree
"Grace Under Fire - Single Mom",6,360,clip,Sitcom,abc,1,1,1993,"Grace raises kids while working",true,grace-mom-clip,Story Tree
"Roseanne - Working Class Family",9,540,clip,Sitcom,abc,1,1,1988,"Connor family financial struggles",true,roseanne-family-clip,Story Tree
"Designing Women - Southern Sass",7,420,clip,Sitcom,cbs,1,1,1986,"Atlanta interior design firm",true,designing-women-clip,Story Tree
"Murphy Brown - Newsroom Comedy",8,480,clip,Sitcom,cbs,1,1,1988,"Investigative reporter and team",true,murphy-newsroom-clip,Story Tree
"Night Court - Courtroom Antics",5,300,clip,Sitcom,nbc,1,1,1984,"Judge Harry Stone's quirky court",true,nightcourt-antics-clip,Story Tree
"Benson - Governor's Mansion",6,360,clip,Sitcom,abc,1,1,1979,"Benson manages the governor's staff",true,benson-mansion-clip,Story Tree
"Webster - Adopted Family",4,240,clip,Sitcom,abc,1,1,1983,"Little Webster and his new family",true,webster-family-clip,Story Tree
"Different Strokes - What You Talkin About",3,180,clip,Sitcom,nbc,1,1,1978,"Arnold's famous catchphrase",true,different-arnold-clip,Story Tree
"Facts of Life - Girls School Drama",7,420,clip,Sitcom,nbc,1,1,1979,"Mrs. Garrett and the girls",true,facts-drama-clip,Story Tree
"Silver Spoons - Rich Kid Problems",5,300,clip,Sitcom,nbc,1,1,1982,"Ricky Schroder's privileged life",true,silver-rich-clip,Story Tree
"House - Vicodin Addiction",9,540,clip,Medical,fox,1,1,2004,"House struggles with pain management",true,house-vicodin-clip,Character Summaries
"Dr. Kildare - Medical Ethics",8,480,clip,Medical,nbc,1,1,1961,"Young doctor learns bedside manner",true,kildare-ethics-clip,Character Summaries
"ER - Emergency Room Chaos",12,720,clip,Medical,nbc,1,1,1994,"Trauma team saves lives",true,er-chaos-clip,Character Summaries
"Scrubs - Internal Monologue",6,360,clip,Medical,nbc,1,1,2001,"JD's fantasy sequences",true,scrubs-monologue-clip,Character Summaries
"Doogie Howser - Teen Genius",7,420,clip,Medical,abc,1,1,1989,"16-year-old doctor balances life",true,doogie-genius-clip,Character Summaries
"Chicago Hope - Surgery Drama",10,600,clip,Medical,cbs,1,1,1994,"Surgeons face ethical dilemmas",true,chicago-surgery-clip,Character Summaries
"St. Elsewhere - Hospital Politics",11,660,clip,Medical,nbc,1,1,1982,"Boston teaching hospital drama",true,st-politics-clip,Character Summaries
"Marcus Welby MD - Family Doctor",5,300,clip,Medical,abc,1,1,1969,"Caring family physician",true,welby-doctor-clip,Character Summaries
"Ben Casey - Neurosurgeon",9,540,clip,Medical,abc,1,1,1961,"Intense brain surgeon drama",true,casey-neuro-clip,Character Summaries
"Medical Center - Diagnostic Skills",8,480,clip,Medical,cbs,1,1,1969,"Dr. Gannon solves medical mysteries",true,medical-diagnostic-clip,Character Summaries
"Quincy ME - Forensic Pathologist",13,780,clip,Crime,nbc,1,1,1976,"Coroner investigates suspicious deaths",true,quincy-forensic-clip,Character Summaries
"Columbo - Rumpled Detective",15,900,clip,Crime,nbc,1,1,1971,"Just one more thing...",true,columbo-rumpled-clip,Character Summaries
"Perry Mason - Defense Attorney",12,720,clip,Crime,cbs,1,1,1957,"Lawyer always proves client innocent",true,perry-defense-clip,Character Summaries
"Rockford Files - Private Eye",10,600,clip,Crime,nbc,1,1,1974,"Jim Rockford solves cases reluctantly",true,rockford-pi-clip,Character Summaries
"Magnum PI - Hawaiian Detective",8,480,clip,Crime,cbs,1,1,1980,"Thomas Magnum's island investigations",true,magnum-hawaii-clip,Character Summaries
"Murder She Wrote - Mystery Writer",6,360,clip,Crime,cbs,1,1,1984,"Jessica Fletcher solves murders",true,murder-writer-clip,Character Summaries
"Matlock - Southern Lawyer",7,420,clip,Crime,nbc,1,1,1986,"Ben Matlock's courtroom victories",true,matlock-southern-clip,Character Summaries
"Diagnosis Murder - Doctor Detective",9,540,clip,Crime,cbs,1,1,1993,"Dr. Sloan investigates hospital crimes",true,diagnosis-doctor-clip,Character Summaries
"Jake in Progress - Commitment Issues",4,240,clip,Comedy,abc,1,1,2005,"Publicist avoids relationships",true,jake-commitment-clip,Character Summaries
"Lie to Me - Micro Expressions",11,660,clip,Crime,fox,1,1,2009,"Dr. Lightman reads facial lies",true,lietome-micro-clip,Character Summaries
"The Finder - Human Metal Detector",8,480,clip,Crime,fox,1,1,2012,"Walter Sherman finds anything",true,finder-detector-clip,Character Summaries
"White Collar - Con Artist Helper",10,600,clip,Crime,usa,1,1,2009,"Neal Caffrey assists FBI",true,whitecollar-con-clip,Character Summaries
"Burn Notice - Spy Skills",7,420,clip,Action,usa,1,1,2007,"Michael Westen uses spy training",true,burn-spy-clip,Character Summaries
"Leverage - Robin Hood Team",9,540,clip,Crime,tnt,1,1,2008,"Thieves help the innocent",true,leverage-robin-clip,Character Summaries
"The Closer - Interrogation Expert",12,720,clip,Crime,tnt,1,1,2005,"Brenda Johnson gets confessions",true,closer-interrogate-clip,Character Summaries
"Major Crimes - Team Leadership",6,360,clip,Crime,tnt,1,1,2012,"Sharon Raydor leads squad",true,major-leadership-clip,Character Summaries
"Castle - Writer Detective",8,480,clip,Crime,abc,1,1,2009,"Richard Castle shadows detective",true,castle-writer-clip,Character Summaries
"The Good Wife - Legal Strategy",13,780,clip,Drama,cbs,1,1,2009,"Alicia Florrick rebuilds career",true,goodwife-strategy-clip,Character Summaries
"Boston Legal - Eccentric Lawyers",10,600,clip,Drama,abc,1,1,2004,"Denny Crane and Alan Shore",true,boston-eccentric-clip,Character Summaries
"Ally McBeal - Dating Lawyer",7,420,clip,Comedy,fox,1,1,1997,"Ally's romantic fantasies",true,ally-dating-clip,Character Summaries
"The Practice - Defense Team",11,660,clip,Drama,abc,1,1,1997,"Bobby Donnell's firm ethics",true,practice-defense-clip,Character Summaries
"Veep - Political Incompetence",5,300,clip,Comedy,hbo,1,1,2012,"Selina Meyer's administration chaos",true,veep-incompetence-clip,Scene Description Pipeline
"Silicon Valley - Tech Startup",8,480,clip,Comedy,hbo,1,1,2014,"Compression algorithm competition",true,silicon-startup-clip,Scene Description Pipeline
"Curb Your Enthusiasm - Social Awkwardness",10,600,clip,Comedy,hbo,1,1,2000,"Larry David's uncomfortable situations",true,curb-awkward-clip,Scene Description Pipeline
"Eastbound and Down - Fallen Athlete",7,420,clip,Comedy,hbo,1,1,2009,"Kenny Powers' ego and delusions",true,eastbound-fallen-clip,Scene Description Pipeline
"Workaholics - Slacker Friends",6,360,clip,Comedy,comedy central,1,1,2011,"Three friends avoid real work",true,workaholics-slacker-clip,Scene Description Pipeline
"Broad City - Best Friend Adventures",9,540,clip,Comedy,comedy central,1,1,2014,"Abbi and Ilana's NYC misadventures",true,broad-adventure-clip,Scene Description Pipeline
"Review - Life Experiences",4,240,clip,Comedy,comedy central,1,1,2014,"Forrest MacNeil reviews life",true,review-experience-clip,Scene Description Pipeline
"Nathan for You - Business Help",12,720,clip,Comedy,comedy central,1,1,2013,"Nathan helps struggling businesses",true,nathan-business-clip,Scene Description Pipeline
"Comedy Bang Bang - Talk Show Parody",8,480,clip,Comedy,ifc,1,1,2012,"Scott Aukerman's surreal interviews",true,comedy-parody-clip,Scene Description Pipeline
"The Eric Andre Show - Chaos Talk Show",3,180,clip,Comedy,adult swim,1,1,2012,"Eric Andre destroys his set",true,eric-chaos-clip,Scene Description Pipeline
"Between Two Ferns - Celebrity Interviews",5,300,clip,Comedy,funny or die,1,1,2008,"Zach Galifianakis awkward questions",true,ferns-celebrity-clip,Scene Description Pipeline
"Tim and Eric Awesome Show - Surreal Sketches",7,420,clip,Comedy,adult swim,1,1,2007,"Bizarre and uncomfortable humor",true,timeric-surreal-clip,Scene Description Pipeline
"Wonder Showzen - Dark Kids Show",6,360,clip,Comedy,mtv,1,1,2005,"Twisted educational programming",true,wonder-dark-clip,Scene Description Pipeline
"Human Giant - Sketch Comedy",9,540,clip,Comedy,mtv,1,1,2007,"Aziz Ansari and Rob Huebel skits",true,human-sketch-clip,Scene Description Pipeline 
