title,duration_minutes,duration_seconds,type,genre,service,season,episode,year,description,automode_eligible,content_id,intelligence_bucket
"Arrested Development - Gob's Magic",9,540,clip,Comedy,fox,2,1,2004,"It's not a trick, it's an illusion",true,arrested-magic-clip,Story Tree
"Community - Paintball Episode",15,900,clip,Comedy,nbc,1,23,2010,"The study group in paintball war",true,community-paintball-clip,Story Tree
"30 Rock - Tracy's Outburst",7,420,clip,Comedy,nbc,2,11,2008,"Tracy has a public meltdown",true,30rock-tracy-clip,Story Tree
"How I Met Your Mother - Slap Bet",11,660,clip,Sitcom,cbs,2,9,2006,"Marshall wins the right to slap Barney",true,himym-slap-clip,Story Tree
"Brooklyn Nine-Nine - Halloween Heist",13,780,clip,Comedy,fox,1,6,2013,"First annual Halloween heist begins",true,brooklyn-heist-clip,Story Tree
"Modern Family - Phil's Philosophy",5,300,clip,Sitcom,abc,1,2,2009,"Phil explains his parenting style",true,modern-philosophy-clip,Story Tree
"Cheers - Norm Entrance",4,240,clip,Sitcom,nbc,3,1,1984,"NORM! Everyone knows your name",true,cheers-norm-clip,Story Tree
"Frasier - Psychiatrist Analysis",8,480,clip,Sitcom,nbc,5,12,1998,"Frasier analyzes everyone at party",true,frasier-analysis-clip,Story Tree
"Will & Grace - Jack's Dramatics",6,360,clip,Sitcom,nbc,2,8,2000,"Jack overreacts to minor situation",true,willgrace-jack-clip,Story Tree
"Sex and the City - Carrie's Voiceover",7,420,clip,Comedy,hbo,3,5,2000,"Carrie wonders about relationships",true,satc-carrie-clip,Story Tree
"Everybody Loves Raymond - Family Dinner",9,540,clip,Sitcom,cbs,4,11,2000,"Ray gets caught between Marie and Debra",true,raymond-dinner-clip,Story Tree
"King of Queens - Doug's Schemes",12,720,clip,Sitcom,cbs,6,7,2004,"Doug tries to avoid work",true,queens-scheme-clip,Story Tree
"Sherlock - Deduction Scene",8,480,clip,Mystery,bbc,1,1,2010,"Holmes deduces Watson's background",true,sherlock-deduction-clip,Character Summaries
"House - Differential Diagnosis",10,600,clip,Medical,fox,2,5,2005,"Team brainstorms patient symptoms",true,house-diagnosis-clip,Character Summaries
"Dexter - Kill Room Setup",12,720,clip,Crime,showtime,1,3,2006,"Dexter prepares his kill room",true,dexter-room-clip,Character Summaries
"The Mentalist - Patrick's Tricks",6,360,clip,Crime,cbs,1,2,2008,"Patrick Jane reads people's minds",true,mentalist-tricks-clip,Character Summaries
"Psych - Shawn's Fake Visions",9,540,clip,Comedy,usa,1,1,2006,"Shawn pretends to be psychic",true,psych-visions-clip,Character Summaries
"Monk - Adrian's Phobias",7,420,clip,Comedy,usa,1,2,2002,"Monk explains his many fears",true,monk-phobias-clip,Character Summaries
"Criminal Minds - Behavioral Analysis",11,660,clip,Crime,cbs,1,1,2005,"Team profiles the unsub",true,minds-profile-clip,Character Summaries
"Bones - Booth and Brennan Banter",5,300,clip,Crime,fox,1,1,2005,"Partnership dynamic showcased",true,bones-banter-clip,Character Summaries
"NCIS - Gibbs and DiNozzo",8,480,clip,Crime,cbs,1,1,2003,"Head slap and movie references",true,ncis-slap-clip,Character Summaries
"CSI - Lab Work Montage",4,240,clip,Crime,cbs,1,1,2000,"Team processes evidence in lab",true,csi-lab-clip,Character Summaries
"Elementary - Holmes and Watson",13,780,clip,Crime,cbs,1,1,2012,"Modern Holmes in New York",true,elementary-modern-clip,Character Summaries
"The X-Files - Mulder and Scully",15,900,clip,Mystery,fox,1,1,1993,"The truth is out there",true,xfiles-truth-clip,Character Summaries 
